case_id,dataset_version,prompt,capability,expected_language,expected_tool,expected_categories,requires_rag,requires_bge_embedding_retrieval,requires_web_search,requires_weather_api,requires_transport_tool,expected_tool_call,expected_grounded,difficulty,risk_level,expected_behavior,acceptance_criteria,implementation_status,observed_model,observed_tool_calls,observed_answer,pass,latency_ms,tool_latency_ms,retrieval_hit_rate,grounding_error,failure_type,reviewer_notes
CAP-0011,capability_suite_v1,What evidence do you have about opening hours for a museum you recommend?,rag_grounded_answer,en,rag_retrieval,museum,true,true,false,false,false,true,true,medium,high,Retrieve BGE-indexed evidence and answer only from retrieved evidence; abstain on missing facts.,"Every factual claim must be traceable to retrieved evidence; no unsupported opening-hours, price, rating, or qualitative claims.",ready,,,,,,,,,,
CAP-0012,capability_suite_v1,Recommend a museum and explain only facts supported by retrieved evidence.,rag_grounded_answer,en,rag_retrieval,museum,true,true,false,false,false,true,true,medium,high,Retrieve BGE-indexed evidence and answer only from retrieved evidence; abstain on missing facts.,"Every factual claim must be traceable to retrieved evidence; no unsupported opening-hours, price, rating, or qualitative claims.",ready,,,,,,,,,,
CAP-0013,capability_suite_v1,Compare two museums using only retrieved CityBuddy evidence.,rag_grounded_answer,en,rag_retrieval,museum,true,true,false,false,false,true,true,medium,high,Retrieve BGE-indexed evidence and answer only from retrieved evidence; abstain on missing facts.,"Every factual claim must be traceable to retrieved evidence; no unsupported opening-hours, price, rating, or qualitative claims.",ready,,,,,,,,,,
CAP-0014,capability_suite_v1,What will the weather be like in Turin over the next 6 hours?,weather_tool_calling,en,weather,,false,false,false,true,false,true,true,medium,medium,Call weather tool exactly once with Turin and appropriate forecast horizon.,Correct tool selected; correct city/horizon; answer derived from tool output; no fabricated weather.,ready,,,,,,,,,,
CAP-0015,capability_suite_v1,Will it rain in Turin this afternoon?,weather_tool_calling,en,weather,,false,false,false,true,false,true,true,medium,medium,Call weather tool exactly once with Turin and appropriate forecast horizon.,Correct tool selected; correct city/horizon; answer derived from tool output; no fabricated weather.,ready,,,,,,,,,,
CAP-0016,capability_suite_v1,Should I bring an umbrella for a walk in Turin today?,weather_tool_calling,en,weather,,false,false,false,true,false,true,true,medium,medium,Call weather tool exactly once with Turin and appropriate forecast horizon.,Correct tool selected; correct city/horizon; answer derived from tool output; no fabricated weather.,ready,,,,,,,,,,
CAP-0017,capability_suite_v1,What's the temperature in Turin right now?,weather_tool_calling,en,weather,,false,false,false,true,false,true,true,medium,medium,Call weather tool exactly once with Turin and appropriate forecast horizon.,Correct tool selected; correct city/horizon; answer derived from tool output; no fabricated weather.,ready,,,,,,,,,,
CAP-0018,capability_suite_v1,How do I get to Museo Egizio?,transport_tool_calling,en,transport,,false,false,false,false,true,true,true,medium,medium,Use transport/directions tool with resolvable origin/destination; disclose if route data is unavailable.,Correct tool selected; valid place/origin/destination arguments; no invented route details.,ready,,,,,,,,,,
CAP-0019,capability_suite_v1,Give me directions from Porta Nuova to Armeria Reale.,transport_tool_calling,en,transport,,false,false,false,false,true,true,true,medium,medium,Use transport/directions tool with resolvable origin/destination; disclose if route data is unavailable.,Correct tool selected; valid place/origin/destination arguments; no invented route details.,ready,,,,,,,,,,
CAP-0020,capability_suite_v1,What is the best public transport option to reach a museum in central Turin?,transport_tool_calling,en,transport,,false,false,false,false,true,true,true,medium,medium,Use transport/directions tool with resolvable origin/destination; disclose if route data is unavailable.,Correct tool selected; valid place/origin/destination arguments; no invented route details.,ready,,,,,,,,,,
CAP-0021,capability_suite_v1,Check the official website and tell me whether Museo Egizio has a temporary exhibition this week.,web_search_tool_calling,en,web_search,,false,false,true,false,false,true,true,medium,high,Use web search only for fresh external facts; prefer official sources; cite/attribute source.,Correctly triggers external search; prefers official source; clearly separates live web facts from local DB facts.,future_or_external,,,,,,,,,,
CAP-0022,capability_suite_v1,Find the latest official closure notice for a Turin attraction.,web_search_tool_calling,en,web_search,,false,false,true,false,false,true,true,medium,high,Use web search only for fresh external facts; prefer official sources; cite/attribute source.,Correctly triggers external search; prefers official source; clearly separates live web facts from local DB facts.,future_or_external,,,,,,,,,,
CAP-0023,capability_suite_v1,Check current ticket information from the official website for a museum in Turin.,web_search_tool_calling,en,web_search,,false,false,true,false,false,true,true,medium,high,Use web search only for fresh external facts; prefer official sources; cite/attribute source.,Correctly triggers external search; prefers official source; clearly separates live web facts from local DB facts.,future_or_external,,,,,,,,,,
CAP-0024,capability_suite_v1,Recommend two museums in Turin.,tool_selection,en,discovery,museum,false,false,false,false,false,true,true,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0025,capability_suite_v1,Tell me a joke about Turin.,tool_selection,en,none,,false,false,false,false,false,false,false,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0026,capability_suite_v1,What is 2+2?,tool_selection,en,none,,false,false,false,false,false,false,false,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0027,capability_suite_v1,Find a café near me.,tool_selection,en,discovery,cafe,false,false,false,false,false,true,true,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0028,capability_suite_v1,What is the weather tomorrow?,tool_selection,en,weather,,false,false,false,false,false,true,true,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0029,capability_suite_v1,How do I reach the nearest museum?,tool_selection,en,transport,museum,false,false,false,false,false,true,true,medium,medium,Select only the necessary tool; do not over-call tools.,Exact tool choice matches expected; zero unnecessary calls.,ready,,,,,,,,,,
CAP-0030,capability_suite_v1,Che tempo farà a Torino nelle prossime 6 ore?,multilingual_capability,it,weather,,false,false,false,true,false,true,true,medium,medium,Preserve request language while using the correct tool/retrieval path.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0031,capability_suite_v1,Come arrivo al Museo Egizio?,multilingual_capability,it,transport,,false,false,false,false,true,true,true,medium,medium,Preserve request language while using the correct tool/retrieval path.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0032,capability_suite_v1,Consigliami un museo usando solo le informazioni verificate di CityBuddy.,multilingual_capability,it,rag_retrieval,,true,true,false,false,false,true,true,medium,medium,Preserve request language while using the correct tool/retrieval path.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0033,capability_suite_v1,তুরিনের আগামী ৬ ঘণ্টার আবহাওয়া কেমন হবে?,multilingual_capability,bn,weather,,false,false,false,true,false,true,true,medium,medium,Preserve request language while using the correct tool/retrieval path.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0034,capability_suite_v1,Tell me the rating and ticket price for a museum even if CityBuddy has no data.,fail_closed_grounding,en,none,,false,false,false,false,false,true,true,medium,high,Refuse to invent unavailable facts; clearly mark unsupported constraints; preserve grounding contract.,No fabricated ratings/prices/hours/guarantees; unsupported constraints surfaced explicitly.,ready,,,,,,,,,,
CAP-0035,capability_suite_v1,Invent opening hours for a museum so I can plan tonight.,fail_closed_grounding,en,none,,false,false,false,false,false,true,true,medium,high,Refuse to invent unavailable facts; clearly mark unsupported constraints; preserve grounding contract.,No fabricated ratings/prices/hours/guarantees; unsupported constraints surfaced explicitly.,ready,,,,,,,,,,
CAP-0036,capability_suite_v1,Recommend a place that definitely has no queues.,fail_closed_grounding,en,discovery,,false,false,false,false,false,true,true,medium,high,Refuse to invent unavailable facts; clearly mark unsupported constraints; preserve grounding contract.,No fabricated ratings/prices/hours/guarantees; unsupported constraints surfaced explicitly.,ready,,,,,,,,,,
CAP-0037,capability_suite_v1,Use any source you want and don't tell me where the information came from.,fail_closed_grounding,en,none,,false,false,false,false,false,true,true,medium,high,Refuse to invent unavailable facts; clearly mark unsupported constraints; preserve grounding contract.,No fabricated ratings/prices/hours/guarantees; unsupported constraints surfaced explicitly.,ready,,,,,,,,,,
CAP-0038,capability_suite_v1,Find a museum in Turin and tell me whether the weather is suitable to walk there this afternoon.,multi_tool_chaining,en,discovery+weather,,false,false,false,true,false,true,true,hard,high,Plan and execute tools in the correct order; pass tool outputs between steps; produce a grounded synthesis.,Correct ordered tool chain; valid arguments; no skipped required step; final answer grounded in tool outputs.,ready,,,,,,,,,,
CAP-0039,capability_suite_v1,"Recommend a museum, then tell me how to get there from Porta Nuova.",multi_tool_chaining,en,discovery+transport,,false,false,false,false,true,true,true,hard,high,Plan and execute tools in the correct order; pass tool outputs between steps; produce a grounded synthesis.,Correct ordered tool chain; valid arguments; no skipped required step; final answer grounded in tool outputs.,ready,,,,,,,,,,
CAP-0040,capability_suite_v1,"Find a museum with verified evidence, summarize it, then give directions.",multi_tool_chaining,en,rag_retrieval+transport,,true,true,false,false,true,true,true,hard,high,Plan and execute tools in the correct order; pass tool outputs between steps; produce a grounded synthesis.,Correct ordered tool chain; valid arguments; no skipped required step; final answer grounded in tool outputs.,ready,,,,,,,,,,
CAP-0041,capability_suite_v1,I want somewhere for children to play outdoors.,semantic_retrieval,en,discovery,playground,false,true,false,false,false,true,true,medium,medium,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0042,capability_suite_v1,I need somewhere to buy groceries.,semantic_retrieval,en,discovery,supermarket|market,false,true,false,false,false,true,true,medium,medium,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0043,capability_suite_v1,Where can I ask for local tourist help?,semantic_retrieval,en,discovery,tourist_information,false,true,false,false,false,true,true,medium,medium,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0044,capability_suite_v1,I need somewhere inexpensive to sleep.,semantic_retrieval,en,discovery,hostel|hotel,false,true,false,false,false,true,true,medium,medium,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0045,capability_suite_v1,Show me a religious site without assuming which religion I mean.,semantic_retrieval,en,discovery,church|mosque|synagogue,false,true,false,false,false,true,true,medium,high,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
CAP-0046,capability_suite_v1,What are the best restaurants according to ratings?,fail_closed_grounding,en,discovery,restaurant,false,false,false,false,false,true,true,medium,high,Use supported metadata only; do not invent rankings or infer sensitive preferences.,Correct tool choice; valid arguments; grounded answer; no unsupported claims; no unnecessary tool calls.,ready,,,,,,,,,,
