case_id,dataset_version,prompt,language,expected_categories,expected_limit,expected_category_limits,expected_goal,expected_tool_intent,expected_nearby,expected_radius_km,expected_target_place_name,expected_valid_plan,expected_unsupported_constraints,difficulty,risk_level,tags,pass_criteria,notes,observed_model,observed_output,pass,latency_ms,retry_count,failure_type,reviewer_notes
INT-0011,planner_intent_v1,Find me one good church in Turin.,en,church,1,"{""church"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|church|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0012,planner_intent_v1,I want to visit a church in Turin.,en,church,1,"{""church"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|church|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0013,planner_intent_v1,Recommend two community centres in Turin.,en,community_centre,2,"{""community_centre"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|community_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0014,planner_intent_v1,Find me one good community centre in Turin.,en,community_centre,1,"{""community_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|community_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0015,planner_intent_v1,I want to visit a community centre in Turin.,en,community_centre,1,"{""community_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|community_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0016,planner_intent_v1,Recommend two fast-food places in Turin.,en,fast_food,2,"{""fast_food"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fast_food|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0017,planner_intent_v1,Find me one good fast-food place in Turin.,en,fast_food,1,"{""fast_food"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fast_food|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0018,planner_intent_v1,I want to visit a fast-food place in Turin.,en,fast_food,1,"{""fast_food"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fast_food|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0019,planner_intent_v1,Recommend two fitness centres in Turin.,en,fitness_centre,2,"{""fitness_centre"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fitness_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0020,planner_intent_v1,Find me one good fitness centre in Turin.,en,fitness_centre,1,"{""fitness_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fitness_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0021,planner_intent_v1,I want to visit a fitness centre in Turin.,en,fitness_centre,1,"{""fitness_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|fitness_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0022,planner_intent_v1,Recommend two gallerys in Turin.,en,gallery,2,"{""gallery"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|gallery|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0023,planner_intent_v1,Find me one good gallery in Turin.,en,gallery,1,"{""gallery"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|gallery|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0024,planner_intent_v1,I want to visit a gallery in Turin.,en,gallery,1,"{""gallery"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|gallery|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0025,planner_intent_v1,Recommend two gardens in Turin.,en,garden,2,"{""garden"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|garden|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0026,planner_intent_v1,Find me one good garden in Turin.,en,garden,1,"{""garden"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|garden|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0027,planner_intent_v1,I want to visit a garden in Turin.,en,garden,1,"{""garden"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|garden|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0028,planner_intent_v1,Recommend two historic sites in Turin.,en,historic_site,2,"{""historic_site"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|historic_site|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0029,planner_intent_v1,Find me one good historic site in Turin.,en,historic_site,1,"{""historic_site"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|historic_site|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0030,planner_intent_v1,I want to visit a historic site in Turin.,en,historic_site,1,"{""historic_site"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|historic_site|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0031,planner_intent_v1,Recommend two hostels in Turin.,en,hostel,2,"{""hostel"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hostel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0032,planner_intent_v1,Find me one good hostel in Turin.,en,hostel,1,"{""hostel"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hostel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0033,planner_intent_v1,I want to visit a hostel in Turin.,en,hostel,1,"{""hostel"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hostel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0034,planner_intent_v1,Recommend two hotels in Turin.,en,hotel,2,"{""hotel"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hotel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0035,planner_intent_v1,Find me one good hotel in Turin.,en,hotel,1,"{""hotel"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hotel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0036,planner_intent_v1,I want to visit a hotel in Turin.,en,hotel,1,"{""hotel"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|hotel|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0037,planner_intent_v1,Recommend two librarys in Turin.,en,library,2,"{""library"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|library|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0038,planner_intent_v1,Find me one good library in Turin.,en,library,1,"{""library"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|library|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0039,planner_intent_v1,I want to visit a library in Turin.,en,library,1,"{""library"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|library|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0040,planner_intent_v1,Recommend two markets in Turin.,en,market,2,"{""market"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|market|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0041,planner_intent_v1,Find me one good market in Turin.,en,market,1,"{""market"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|market|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0042,planner_intent_v1,I want to visit a market in Turin.,en,market,1,"{""market"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|market|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0043,planner_intent_v1,Recommend two monuments in Turin.,en,monument,2,"{""monument"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|monument|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0044,planner_intent_v1,Find me one good monument in Turin.,en,monument,1,"{""monument"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|monument|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0045,planner_intent_v1,I want to visit a monument in Turin.,en,monument,1,"{""monument"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|monument|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0046,planner_intent_v1,Recommend two mosques in Turin.,en,mosque,2,"{""mosque"": 2}",recommend,discovery,false,,,true,,basic,high,leaf_category|mosque|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0047,planner_intent_v1,Find me one good mosque in Turin.,en,mosque,1,"{""mosque"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|mosque|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0048,planner_intent_v1,I want to visit a mosque in Turin.,en,mosque,1,"{""mosque"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|mosque|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0049,planner_intent_v1,Recommend two museums in Turin.,en,museum,2,"{""museum"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|museum|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0050,planner_intent_v1,Find me one good museum in Turin.,en,museum,1,"{""museum"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|museum|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0051,planner_intent_v1,I want to visit a museum in Turin.,en,museum,1,"{""museum"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|museum|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0052,planner_intent_v1,Recommend two nightclubs in Turin.,en,nightclub,2,"{""nightclub"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|nightclub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0053,planner_intent_v1,Find me one good nightclub in Turin.,en,nightclub,1,"{""nightclub"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|nightclub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0054,planner_intent_v1,I want to visit a nightclub in Turin.,en,nightclub,1,"{""nightclub"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|nightclub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0055,planner_intent_v1,Recommend two parks in Turin.,en,park,2,"{""park"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|park|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0056,planner_intent_v1,Find me one good park in Turin.,en,park,1,"{""park"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|park|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0057,planner_intent_v1,I want to visit a park in Turin.,en,park,1,"{""park"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|park|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0058,planner_intent_v1,Recommend two playgrounds in Turin.,en,playground,2,"{""playground"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|playground|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0059,planner_intent_v1,Find me one good playground in Turin.,en,playground,1,"{""playground"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|playground|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0060,planner_intent_v1,I want to visit a playground in Turin.,en,playground,1,"{""playground"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|playground|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0061,planner_intent_v1,Recommend two pubs in Turin.,en,pub,2,"{""pub"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|pub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0062,planner_intent_v1,Find me one good pub in Turin.,en,pub,1,"{""pub"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|pub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0063,planner_intent_v1,I want to visit a pub in Turin.,en,pub,1,"{""pub"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|pub|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0064,planner_intent_v1,Recommend two restaurants in Turin.,en,restaurant,2,"{""restaurant"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|restaurant|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0065,planner_intent_v1,Find me one good restaurant in Turin.,en,restaurant,1,"{""restaurant"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|restaurant|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0066,planner_intent_v1,I want to visit a restaurant in Turin.,en,restaurant,1,"{""restaurant"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|restaurant|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0067,planner_intent_v1,Recommend two shopping centres in Turin.,en,shopping_centre,2,"{""shopping_centre"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|shopping_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0068,planner_intent_v1,Find me one good shopping centre in Turin.,en,shopping_centre,1,"{""shopping_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|shopping_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0069,planner_intent_v1,I want to visit a shopping centre in Turin.,en,shopping_centre,1,"{""shopping_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|shopping_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0070,planner_intent_v1,Recommend two sports centres in Turin.,en,sports_centre,2,"{""sports_centre"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|sports_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0071,planner_intent_v1,Find me one good sports centre in Turin.,en,sports_centre,1,"{""sports_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|sports_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0072,planner_intent_v1,I want to visit a sports centre in Turin.,en,sports_centre,1,"{""sports_centre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|sports_centre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0073,planner_intent_v1,Recommend two supermarkets in Turin.,en,supermarket,2,"{""supermarket"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|supermarket|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0074,planner_intent_v1,Find me one good supermarket in Turin.,en,supermarket,1,"{""supermarket"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|supermarket|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0075,planner_intent_v1,I want to visit a supermarket in Turin.,en,supermarket,1,"{""supermarket"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|supermarket|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0076,planner_intent_v1,Recommend two synagogues in Turin.,en,synagogue,2,"{""synagogue"": 2}",recommend,discovery,false,,,true,,basic,high,leaf_category|synagogue|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0077,planner_intent_v1,Find me one good synagogue in Turin.,en,synagogue,1,"{""synagogue"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|synagogue|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0078,planner_intent_v1,I want to visit a synagogue in Turin.,en,synagogue,1,"{""synagogue"": 1}",recommend,discovery,false,,,true,,basic,high,leaf_category|synagogue|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0079,planner_intent_v1,Recommend two theatres in Turin.,en,theatre,2,"{""theatre"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|theatre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0080,planner_intent_v1,Find me one good theatre in Turin.,en,theatre,1,"{""theatre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|theatre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0081,planner_intent_v1,I want to visit a theatre in Turin.,en,theatre,1,"{""theatre"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|theatre|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0082,planner_intent_v1,Recommend two tourist information centres in Turin.,en,tourist_information,2,"{""tourist_information"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|tourist_information|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0083,planner_intent_v1,Find me one good tourist information centre in Turin.,en,tourist_information,1,"{""tourist_information"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|tourist_information|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0084,planner_intent_v1,I want to visit a tourist information centre in Turin.,en,tourist_information,1,"{""tourist_information"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|tourist_information|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0085,planner_intent_v1,Recommend two viewpoints in Turin.,en,viewpoint,2,"{""viewpoint"": 2}",recommend,discovery,false,,,true,,basic,medium,leaf_category|viewpoint|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0086,planner_intent_v1,Find me one good viewpoint in Turin.,en,viewpoint,1,"{""viewpoint"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|viewpoint|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0087,planner_intent_v1,I want to visit a viewpoint in Turin.,en,viewpoint,1,"{""viewpoint"": 1}",recommend,discovery,false,,,true,,basic,medium,leaf_category|viewpoint|explicit,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0088,planner_intent_v1,Consigliami due musei a Torino.,it,museum,2,"{""museum"": 2}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0089,planner_intent_v1,Trova una moschea a Torino.,it,mosque,1,"{""mosque"": 1}",recommend,discovery,false,,,true,,medium,high,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0090,planner_intent_v1,Vorrei un parco e un museo a Torino.,it,park|museum,2,"{""museum"": 1, ""park"": 1}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0091,planner_intent_v1,Recommande-moi deux cafés à Turin.,fr,cafe,2,"{""cafe"": 2}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0092,planner_intent_v1,Trouve une synagogue à Turin.,fr,synagogue,1,"{""synagogue"": 1}",recommend,discovery,false,,,true,,medium,high,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0093,planner_intent_v1,Recomiéndame dos restaurantes en Turín.,es,restaurant,2,"{""restaurant"": 2}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0094,planner_intent_v1,Quiero visitar un museo y un parque en Turín.,es,museum|park,2,"{""museum"": 1, ""park"": 1}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0095,planner_intent_v1,তুরিনে দুটি জাদুঘর সাজেস্ট করো।,bn,museum,2,"{""museum"": 2}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0096,planner_intent_v1,তুরিনে একটি মসজিদ খুঁজে দাও।,bn,mosque,1,"{""mosque"": 1}",recommend,discovery,false,,,true,,medium,high,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0097,planner_intent_v1,Recomenda dois hotéis em Turim.,pt,hotel,2,"{""hotel"": 2}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0098,planner_intent_v1,Finde ein Museum in Turin.,de,museum,1,"{""museum"": 1}",recommend,discovery,false,,,true,,medium,medium,multilingual,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0099,planner_intent_v1,Recommend one mosque and two museums in Turin.,en,mosque|museum,3,"{""mosque"": 1, ""museum"": 2}",recommend,discovery,false,,,true,,hard,high,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0100,planner_intent_v1,"Find two parks, one gallery, and one café in Turin.",en,park|gallery|cafe,4,"{""cafe"": 1, ""gallery"": 1, ""park"": 2}",recommend,discovery,false,,,true,,hard,medium,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0101,planner_intent_v1,I need one hotel and three restaurants in Turin.,en,hotel|restaurant,4,"{""hotel"": 1, ""restaurant"": 3}",recommend,discovery,false,,,true,,hard,medium,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0102,planner_intent_v1,"Show me one synagogue, one church, and one mosque in Turin.",en,synagogue|church|mosque,3,"{""church"": 1, ""mosque"": 1, ""synagogue"": 1}",recommend,discovery,false,,,true,,hard,high,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0103,planner_intent_v1,Give me two nightlife options: one bar and one nightclub.,en,bar|nightclub,2,"{""bar"": 1, ""nightclub"": 1}",recommend,discovery,false,,,true,,hard,medium,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
INT-0104,planner_intent_v1,"Find a market, supermarket, and shopping centre in Turin.",en,market|supermarket|shopping_centre,3,"{""market"": 1, ""shopping_centre"": 1, ""supermarket"": 1}",recommend,discovery,false,,,true,,hard,medium,multi_category|quantity,Valid structured plan; exact leaf category mapping; preserve requested quantities; no group-level category leakage.,,,,,,,,
